analysis_type	analysis_subtype	analysis_name	group1_samples	group2_samples	N_test	N_chunk
emVars	sample	A549-ACE2_IAV_R1-P3	A549-ACE2_IAV_R1-P3		5703	11
emVars	sample	A549-ACE2_IAV_R2	A549-ACE2_IAV_R2		5704	11
emVars	sample	A549-ACE2_IAV_R3	A549-ACE2_IAV_R3		5705	11
emVars	sample	A549-ACE2_NS_R1	A549-ACE2_NS_R1		5706	11
emVars	sample	A549-ACE2_NS_R2-P3	A549-ACE2_NS_R2-P3		5706	11
emVars	sample	A549-ACE2_NS_R3-P3	A549-ACE2_NS_R3-P3		5704	11
emVars	sample	A549-ACE2_SARS_R1-P3	A549-ACE2_SARS_R1-P3		5701	11
emVars	sample	A549-ACE2_SARS_R2-P3	A549-ACE2_SARS_R2-P3		5709	11
emVars	sample	A549-ACE2_SARS_R3-P3	A549-ACE2_SARS_R3-P3		5702	11
emVars	sample	A549-ACE2_TNFa_R1	A549-ACE2_TNFa_R1		5700	11
emVars	sample	A549-ACE2_TNFa_R2	A549-ACE2_TNFa_R2		5706	11
emVars	sample	A549-ACE2_TNFa_R3	A549-ACE2_TNFa_R3		5703	11
emVars	sample	HepG2_DEX_R1	HepG2_DEX_R1		5565	12
emVars	sample	HepG2_DEX_R2	HepG2_DEX_R2		5705	11
emVars	sample	HepG2_DEX_R3	HepG2_DEX_R3		5706	11
emVars	sample	HepG2_IFNA2b_R1	HepG2_IFNA2b_R1		5582	12
emVars	sample	HepG2_IFNA2b_R2	HepG2_IFNA2b_R2		5543	11
emVars	sample	HepG2_IFNA2b_R3	HepG2_IFNA2b_R3		5705	11
emVars	sample	HepG2_IFNA2b_R4	HepG2_IFNA2b_R4		5532	11
emVars	sample	HepG2_NS_R1	HepG2_NS_R1		5580	12
emVars	sample	HepG2_NS_R2	HepG2_NS_R2		5587	12
emVars	sample	HepG2_NS_R3	HepG2_NS_R3		5703	11
emVars	sample	HepG2_NS_R4	HepG2_NS_R4		5535	11
emVars	sample	HepG2_NS_R5	HepG2_NS_R5		5702	11
emVars	sample	HepG2_TNFa_R1	HepG2_TNFa_R1		5699	11
emVars	sample	HepG2_TNFa_R2	HepG2_TNFa_R2		5701	11
emVars	sample	HepG2_TNFa_R3	HepG2_TNFa_R3		5700	11
emVars	sample	K562_IFNA2b_R1	K562_IFNA2b_R1		5703	11
emVars	sample	K562_IFNA2b_R2	K562_IFNA2b_R2		5702	11
emVars	sample	K562_IFNA2b_R3	K562_IFNA2b_R3		5702	11
emVars	sample	K562_IFNA2b_R4	K562_IFNA2b_R4		5706	11
emVars	sample	K562_NS_R1	K562_NS_R1		5589	12
emVars	sample	K562_NS_R2	K562_NS_R2		5705	11
emVars	sample	K562_NS_R3	K562_NS_R3		5702	11
emVars	sample	K562_NS_R4	K562_NS_R4		5707	11
emVars	sample	K562_NS_R5	K562_NS_R5		5701	11
emVars	sample	K562_TNFa_R1	K562_TNFa_R1		5706	11
emVars	sample	K562_TNFa_R2	K562_TNFa_R2		5704	11
emVars	sample	K562_TNFa_R3	K562_TNFa_R3		5699	11
emVars	sample	K562_DEX_R1	K562_DEX_R1		5706	11
emVars	sample	K562_DEX_R2	K562_DEX_R2		5704	11
emVars	sample	K562_DEX_R3	K562_DEX_R3		5699	11
oligo_activity	replicate_all	A549-ACE2_IAV_replicates_allvs1	A549-ACE2_IAV_R2,A549-ACE2_IAV_R3	A549-ACE2_IAV_R1-P3	11556	23
oligo_activity	replicate_all	A549-ACE2_IAV_replicates_allvs2	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R3	A549-ACE2_IAV_R2	11556	23
oligo_activity	replicate_all	A549-ACE2_IAV_replicates_allvs3	A549-ACE2_IAV_R1-P3,A549-ACE2_IAV_R2	A549-ACE2_IAV_R3	11556	23
oligo_activity	replicate_all	A549-ACE2_NS_P3-effect_1vs23	A549-ACE2_NS_R1	A549-ACE2_NS_R2-P3,A549-ACE2_NS_R3-P3	11556	23
oligo_activity	replicate_all	A549-ACE2_NS_replicates_allvs1	A549-ACE2_NS_R3-P3,A549-ACE2_NS_R2-P3	A549-ACE2_NS_R1	11556	23
oligo_activity	replicate_all	A549-ACE2_NS_replicates_allvs2	A549-ACE2_NS_R1,A549-ACE2_NS_R3-P3	A549-ACE2_NS_R2-P3	11556	23
